Suppressive Fire	,	2	,	PLATINUM	,	4.0000	,	2014-10-10	,	2
Suppressive Fire	,	2	,	GOLD	,	50.0000	,	2014-10-10	,	1
Surge Mechanism	,	4	,	PLATINUM	,	75.0000	,	2014-10-10	,	1
Survival of the Fittest	,	2	,	GOLD	,	181.3333	,	2014-10-10	,	3
Sword Trainer	,	3	,	GOLD	,	2600.0000	,	2014-10-10	,	2
Sword Trainer	,	3	,	PLATINUM	,	11.0000	,	2014-10-10	,	1
Te'talca Orc Gladiator	,	4	,	PLATINUM	,	33.0000	,	2014-10-10	,	2
Te'talca Orc Gladiator	,	4	,	GOLD	,	5899.0000	,	2014-10-10	,	1
Technical Genius	,	3	,	GOLD	,	300.0000	,	2014-10-10	,	1
Tectonic Break	,	4	,	GOLD	,	4800.0000	,	2014-10-10	,	1
Terrible Transfer	,	2	,	GOLD	,	67.0000	,	2014-10-10	,	9
The Ancestors' Chosen	,	4	,	PLATINUM	,	449.5000	,	2014-10-10	,	2
The Fate Rack	,	3	,	PLATINUM	,	24.0000	,	2014-10-10	,	3
Throat Cutter	,	3	,	PLATINUM	,	11.0000	,	2014-10-10	,	1
Throat Cutter	,	3	,	GOLD	,	855.2500	,	2014-10-10	,	4
Thunderbird	,	2	,	GOLD	,	162.5000	,	2014-10-10	,	2
Thunderbird	,	2	,	PLATINUM	,	4.0000	,	2014-10-10	,	5
Time Bug	,	4	,	PLATINUM	,	66.7500	,	2014-10-10	,	4
Time Ripple	,	2	,	GOLD	,	251.6667	,	2014-10-10	,	3
Time Ripple	,	2	,	PLATINUM	,	3.7143	,	2014-10-10	,	7
Total Meltdown	,	4	,	PLATINUM	,	34.1667	,	2014-10-10	,	6
Trial of Faith	,	4	,	GOLD	,	4630.0000	,	2014-10-10	,	3
